Entity,Definition
Polyester,Polyester is a category of polymers that contain the ester functional group in every repeat unit of their main chain.
Coconut,The coconut tree (Cocos nucifera) is a member of the palm tree family (Arecaceae) and the only living species of the genus Cocos.
Powerloom,Not found on Wikipedia
Fiber,Fiber or fibre (from Latin: fibra) is a natural or artificial substance that is significantly longer than it is wide.
Bur ning paper,Not found on Wikipedia
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Kabir,Kabir (1398–1518): 14–15  was a 15th-century Indian mystic poet and saint.
Tong (yarn),Not found on Wikipedia
Bur ning,Not found on Wikipedia
Yar n,Not found on Wikipedia
Charred meat,Not found on Wikipedia
Yarn,"Yarn is a long continuous length of interlocked fibres, used in sewing, crocheting, knitting, weaving, embroidery, ropemaking, and the production of textiles."
Burning (hair style),Not found on Wikipedia
Combustion,"Combustion, or burning, is a high-temperature exothermic redox chemical reaction between a fuel (the reductant) and an oxidant, usually atmospheric oxygen, that produces oxidized, often gaseous products, in a mixture termed as smoke."
Clothing,"Clothing (also known as clothes, garments, dress, apparel, or attire) is any item worn on the body."
Cooking utensil,Not found on Wikipedia
Shape,"A shape or figure is a graphical representation of an object or its external boundary, outline, or external surface, as opposed to other properties such as color, texture, or material type."
Round object,Not found on Wikipedia
Football,"Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal."
Gharha,Not found on Wikipedia
Edible mushroom,Edible mushrooms are the fleshy and edible fruit bodies of several species of macrofungi (fungi which bear fruiting structures that are large enough to be seen with the naked eye).
Tables 1,Not found on Wikipedia
Lunchbox,A lunch box (alt.
Shape,"A shape or figure is a graphical representation of an object or its external boundary, outline, or external surface, as opposed to other properties such as color, texture, or material type."
Material,Material is a substance or mixture of substances that constitutes an object.
Materials,Not found on Wikipedia
School,A school is an educational institution designed to provide learning spaces and learning environments for the teaching of students under the direction of teachers.
Pencil,"A pencil ( (listen)) is a writing or drawing implement with a solid pigment core in a protective casing that reduces the risk of core breakage, and keeps it from marking the user's hand."
Truck road,Not found on Wikipedia
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Object (mathematics),Not found on Wikipedia
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
T able 4,Not found on Wikipedia
ÃÂ¯ ÃÂ½ÃÂ¯ ÃÂ½ÃÂ¯ ÃÂ½,Not found on Wikipedia
Material,Material is a substance or mixture of substances that constitutes an object.
Teacher,"A teacher, also called a schoolteacher or formally an educator, is a person who helps students to acquire knowledge, competence, or virtue, via the practice of teaching."
Object,Object may refer to:
Common materials,Not found on Wikipedia
Mor e,Not found on Wikipedia
Object,Object may refer to:
Ls c i t s a l P n o t t o C What do we find from these tables,Not found on Wikipedia
Material,Material is a substance or mixture of substances that constitutes an object.
SCIENCE Fig,Not found on Wikipedia
Tumbler,Tumbler may refer to:
2 P ROPER TIES OF MATERIALS,Not found on Wikipedia
Glass,"Glass is a non-crystalline, often transparent, amorphous solid that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics."
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Wood,Wood is a structural tissue found in the stems and roots of trees and other woody plants.
Iron,Iron ( or ) is a chemical element with symbol Fe (from Latin: ferrum) and atomic number 26.
Aluminium,Aluminium (aluminum in North American English) is a chemical element with the symbol Al and atomic number 13.
Cardboard,Cardboard is a generic term for heavy paper-based products.
Shiny,"Shiny may refer to gloss (optics), the ability of a surface to reflect light in a specular way."
Surface (art),Not found on Wikipedia
Fr eshly,Not found on Wikipedia
Lustre,Lustre or Luster may refer to:
Rubbing,"A rubbing (frottage) is a reproduction of the texture of a surface created by placing a piece of paper or similar material over the subject and then rubbing the paper with something to deposit marks, most commonly charcoal or pencil but also various forms of blotted and rolled ink, chalk, wax, and many other substances."
Material,Material is a substance or mixture of substances that constitutes an object.
Material,Material is a substance or mixture of substances that constitutes an object.
What disappears what doesn't,Not found on Wikipedia
Aluminium,Aluminium (aluminum in North American English) is a chemical element with the symbol Al and atomic number 13.
Metal,"A metal (from Greek μέταλλον métallon, ""mine, quarry, metal"") is a material that, when freshly prepared, polished, or fractured, shows a lustrous appearance, and conducts electricity and heat relatively well."
Ironmith,Not found on Wikipedia
Hardness,"In materials science, hardness (antonym: softness) is a measure of the resistance to localized plastic deformation induced by either mechanical indentation or abrasion."
Softness,Not found on Wikipedia
Sponge,"Sponges, the members of the phylum Porifera (; meaning 'pore bearer'), are a basal animal clade as a sister of the diploblasts."
Hardness,"In materials science, hardness (antonym: softness) is a measure of the resistance to localized plastic deformation induced by either mechanical indentation or abrasion."
Orbeaker,Not found on Wikipedia
Sugar,"Sugar is the generic name for sweet-tasting, soluble carbohydrates, many of which are used in food."
Spoon,"A spoon is a utensil consisting of a shallow bowl (also known as a head), oval or round, at the end of a handle."
W ait,Not found on Wikipedia
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Formation (chemistry),Not found on Wikipedia
Soluble,Not found on Wikipedia
SCIENCE Fig,Not found on Wikipedia
Activity 5,Not found on Wikipedia
Gas,Gas is one of the four fundamental states of matter.
Involuble,Not found on Wikipedia
Dissolve,Dissolve may refer to:
Vinegar,Vinegar (formerly also called  eisel) is an aqueous solution of acetic acid and trace compounds that may include flavorings.
Tumbler,Tumbler may refer to:
Spoon,"A spoon is a utensil consisting of a shallow bowl (also known as a head), oval or round, at the end of a handle."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
Activity 5,Not found on Wikipedia
Float,Float may refer to:
Float,Float may refer to:
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
