entity1,entity_1_type,entity2,entity_2_type,relation,sentence
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Temperature,scalar quantity,Change of state,change,calculated from,"For any substance, why does the temperature remain constant during the change of state?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Liquefaction,engineering process,Atmosphere of Earth,atmosphere,uses,"Suggest a method to liquefy atmospheric gases.
"
Pressure,physical quantity,Heat,physical quantity,calculated from,"1.5 Evaporation Do we always need to heat or change pressure for changing the state of matter?
"
Vapor,nan,Liquid,fluid,opposite of,"Can you quote some examples from everyday life where change of state from liquid to vapour takes place without the liquid reaching the boiling point?
"
Vapor,nan,Water,None,subclass of,"Water, when left uncovered, slowly changes into vapour.
"
Clothing,work,Clothing,work,made from material,"Wet clothes dry up.
"
Water,None,Plains,landform,part of,"What happens to water in the above two examples?
"
Movement of matter,motion,Mass,physical quantity,part of,"We know that particles of matter are always moving and are never at rest.
"
Kinetic energy,physical quantity,Temperature,scalar quantity,calculated from,"At a given temperature in any gas, liquid or solid, there are particles with different amounts of kinetic energy.
"
Vapor,nan,Liquid,fluid,subclass of,"In the case of liquids, a small fraction of particles at the surface, having higher kinetic energy, is able to break away from the forces of attraction of other particles and gets converted into vapour.
"
Boiling point,temperature,Temperature,scalar quantity,subclass of,"This phenomenon of change of  liquid into vapours at any temperature below its boiling point is called evaporation.
"
Fan,device,Window,architectural element,subclass of,"Activity _____________1.14 • Take 5 mL of water in a test tube and keep it near a window or under a fan.
"
Fan,nan,Window,architectural element,subclass of,"• Take 5 mL of water in an open china dish and keep it near a window or under a fan.
"
Water,None,Matter,material substance,part of,"• Take 5 mL of water in an open china Q Rationalised 2023-24  SCIENCE 10 What you have learnt • Matter is made up of small particles.
"
Solid,matter,Matter,material substance,instance of,"• The matter around us exists in three states—solid, liquid and gas.
"
Liquid,fluid,Gas,fluid,opposite of,"• The forces of attraction between the particles are maximum in solids, intermediate in liquids and minimum in gases.
"
Liquid,fluid,Solid,matter,subclass of,"• The spaces in between the constituent particles and kinetic energy of the particles are minimum in the case of solids, intermediate in liquids and maximum in gases.
"
Acetone,None,Nail polish remover,cosmetics,subject has role,"What happens when you pour some acetone (nail polish remover) on your palm?
"
Evaporation,phase change,Phase change,change,subclass of,"The particles gain energy from your palm or surroundings and evaporate causing the palm to feel cool.
"
Vaporization,phase change,Heat,physical quantity,has effect,"After a hot sunny day, people sprinkle water on the roof or open ground because the large latent heat of vaporisation of water helps to cool the hot surface.
"
Evaporation,phase change,Cooling,physical process,has effect,"Can you cite some more examples from daily life where we can feel the effect of cooling due to evaporation?
"
Summer,recurring event,Winter,recurring event,opposite of,"Why should we wear cotton clothes in summer?
"
Summer,recurring event,Winter,recurring event,opposite of,"During summer, we perspire more because of the mechanism of our body which keeps us cool.
"
Vapor,nan,Evaporation,phase change,facet of,"We know that during evaporation, the particles at the surface of the liquid gain energy from the surroundings or body surface and change into vapour.
"
Heat energy,physical quantity,Heat,physical quantity,subclass of,"The heat energy equal to the latent heat of vaporisation is absorbed from the body leaving the body cool.
"
Cotton,plant fiber,Water absorption,physical process,use,"Cotton, being a good absorber of water helps in absorbing the sweat and exposing it to the atmosphere for easy evaporation.
"
Tumbler,container,Water,None,contains,"Let us take some ice-cold water in a tumbler.
"
Water droplets,None,Water,None,part of,"The water vapour present in air, on coming in contact with the cold glass of water, loses energy and gets converted to liquid state, which we see as water droplets.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Desert,landscape,Desert,landscape,subclass of,"Why does a desert cooler cool better on a hot dry day?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Matka,earthenware,Earthenware,ceramic,subclass of,"How does the water kept in an earthen pot (matka) become cool during summer?
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Acetone,None,Perfume,nan,subject has role,"Why does our palm feel cold when we put some acetone or petrol or perfume on it?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Tea,tea,Milk,food,different from,"Why are we able to sip hot tea or milk faster from a saucer rather than a cup?
"
4.5,literary work,Doctor Who,television series,part of the series,"5.
"
Clothing,work,Summer,recurring event,use,"What type of clothes should we wear in summer?
"
Liquid,fluid,Gas,fluid,opposite of,"Q Rationalised 2023-24  MATTER IN OUR SURROUNDINGS 11 • The arrangement of particles is most ordered in the case of solids, in the case of liquids layers of particles can slip and slide over each other while for gases, there is no order, particles just move about randomly.
"
Interconvertible state,state of matter,State of matter,physical property,subclass of,"• The states of matter are inter-convertible.
"
Pressure,physical quantity,Temperature,scalar quantity,calculated from,"The state of matter can be changed by changing temperature or pressure.
"
Solid,matter,Gaseous state,state,followed by,"• Sublimation is the change of solid state directly to gaseous state without going through liquid state.
"
Solid,matter,Liquid,fluid,opposite of,"• Deposition is the change of gaseous state directly to solid state without going through liquid state.
"
Boiling,process,Bulk phenomenon,phenomenon,instance of,"• Boiling is a bulk phenomenon.
"
Vapor,nan,Liquid,fluid,subclass of,"Particles from the bulk (whole) of the liquid change into vapour state.
"
Evaporation,surface phenomenon,Surface phenomenon,phenomenon,subclass of,"• Evaporation is a surface phenomenon.
"
Vapor,fluid,Liquid,fluid,subclass of,"Particles from the surface gain enough energy to overcome the forces of attraction present in the liquid and change into the vapour state.
"
Temperature,scalar quantity,Area,physical quantity,calculated from,"• The rate of evaporation depends upon the surface area exposed to the atmosphere, the temperature, the humidity and the wind speed.
"
Evaporation,phase change,Cooling,physical process,has effect,"• Evaporation causes cooling.
"
Boiling point,temperature,Atmospheric pressure,physical quantity,calculated from,"• Latent heat of vaporisation is the heat energy required to change 1 kg of a liquid to gas at atmospheric pressure at its boiling point.
"
Melting point,temperature,Heat,physical quantity,subclass of,"• Latent heat of fusion is the amount of heat energy required to change 1 kg of solid into liquid at its melting point.
"
Kelvin,coherent SI unit,Temperature,scalar quantity,measured physical quantity,"• Some measurable quantities and their units to remember: Quantity Unit Symbol Temperature kelvin K Length metre m Mass kilogram kg Weight newton N Volume cubic metre m3 Density kilogram per cubic metre kg m–3 Pressure pascal Pa Rationalised 2023-24  SCIENCE 12 1.
"
Celsius,UCUM derived unit,Temperature,scalar quantity,measured physical quantity,"Convert the following temperatures to the celsius scale.
"
293 K,chemical element,470 K,chemical element,followed by,"(a) 293 K (b) 470 K 2.
"
Kelvin,coherent SI unit,Temperature,scalar quantity,measured physical quantity,"Convert the following temperatures to the kelvin scale.
"
°C,UCUM derived unit,Temperature,scalar quantity,measured physical quantity,"(a) 25o°C (b) 373o°C 3.
"
